# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 258K of event 'cycles:P'
# Event count (approx.): 252527269824
#
# Overhead  Command  Shared Object         Symbol                                                                                                                                                                               
# ........  .......  ....................  .....................................................................................................................................................................................
#
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f6b7c3
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f8da1c
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f67fe8
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff96016851
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff94ea816a
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff9563aae8
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f536ed
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f87c78
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff94ebfd9c
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff95199dfc
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff9563aaec
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f8da26
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f55d22
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f8487b
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff950173a9
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f713c8
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff9518cb86
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff951b0b32
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f7fa36
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f70e38
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff96006b27
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f536ee
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff94f68025
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff951b0834
     0.06%  a.out    [kernel.kallsyms]     [k] 0xffffffff9500e806
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff9500351a
     0.05%  a.out    [kernel.kallsyms]     [k] 0xffffffff95011777
